"vb","value","date"
"TM4",4.6,1960-05-31
"PM1",16.8,1960-05-31
"TM1",20,1960-06-30
"TM2",14.4,1960-06-30
"TM3",25.6,1960-06-30
"TM4",11.4,1960-06-30
"PM1",22.3,1960-06-30
"TM1",22.5,1960-07-31
"TM2",16.4,1960-07-31
"TM3",28.7,1960-07-31
"TM4",13,1960-07-31
"PM1",0.1,1960-07-31
"TM1",22.3,1960-08-31
"TM2",15.9,1960-08-31
"TM3",28.8,1960-08-31
"TM4",13.4,1960-08-31
"PM1",0,1960-08-31
"TM1",19.2,1960-09-30
"TM2",13.2,1960-09-30
"TM3",25.2,1960-09-30
"TM4",8.4,1960-09-30
"PM1",0,1960-09-30
"TM1",14.2,1960-10-31
"TM2",9.8,1960-10-31
"TM3",18.6,1960-10-31
"TM4",6.6,1960-10-31
"PM1",123.2,1960-10-31
"TM1",12.9,1960-11-30
"TM2",7.9,1960-11-30
"TM3",18,1960-11-30
"TM4",3.2,1960-11-30
"PM1",33.9,1960-11-30
"TM1",6.7,1960-12-31
"TM2",2.5,1960-12-31
"TM3",11,1960-12-31
"TM4",-1,1960-12-31
"PM1",45.8,1960-12-31
"TM1",7.6,1961-01-31
"TM2",2.6,1961-01-31
"TM3",12.6,1961-01-31
"TM4",-0.6,1961-01-31
"PM1",36.9,1961-01-31
"TM1",12.3,1961-02-28
"TM2",6.6,1961-02-28
"TM3",18,1961-02-28
"TM4",2.8,1961-02-28
"PM1",0,1961-02-28
"TM1",11.8,1961-03-31
"TM2",6.3,1961-03-31
"TM3",17.3,1961-03-31
"TM4",2.4,1961-03-31
"PM1",12,1961-03-31
"TM1",15,1961-04-30
"TM2",9.1,1961-04-30
"TM3",20.9,1961-04-30
"TM4",5.8,1961-04-30
"PM1",23.3,1961-04-30
"TM1",17.9,1961-05-31
"TM2",12.1,1961-05-31
"TM3",23.7,1961-05-31
"TM4",8,1961-05-31
"PM1",62.1,1961-05-31
"TM1",19.3,1961-06-30
"TM2",13.6,1961-06-30
"TM3",25,1961-06-30
"TM4",9,1961-06-30
"PM1",21.3,1961-06-30
"TM1",22.4,1961-07-31
"TM2",16.2,1961-07-31
"TM3",28.5,1961-07-31
"TM4",12.4,1961-07-31
"PM1",0.1,1961-07-31
"TM1",22,1961-08-31
"TM2",16.3,1961-08-31
"TM3",27.7,1961-08-31
"TM4",12.2,1961-08-31
"PM1",5,1961-08-31
"TM1",20.1,1961-09-30
"TM2",14.6,1961-09-30
"TM3",25.6,1961-09-30
"TM4",10.4,1961-09-30
"PM1",65.1,1961-09-30
"TM1",15.4,1961-10-31
"TM2",9.9,1961-10-31
"TM3",20.9,1961-10-31
"TM4",4.8,1961-10-31
"PM1",8.4,1961-10-31
"TM1",12,1961-11-30
"TM2",8,1961-11-30
"TM3",16.1,1961-11-30
"TM4",3.8,1961-11-30
"PM1",165.9,1961-11-30
"TM1",11.5,1961-12-31
"TM2",6.6,1961-12-31
"TM3",16.5,1961-12-31
"TM4",2,1961-12-31
"PM1",168,1961-12-31
"TM1",9.8,1962-01-31
"TM2",4.9,1962-01-31
"TM3",14.8,1962-01-31
"TM4",1.8,1962-01-31
"PM1",28.9,1962-01-31
"TM1",9.7,1962-02-28
"TM2",4.2,1962-02-28
"TM3",15.1,1962-02-28
"PM1",27.8,1962-02-28
"TM1",11.1,1962-03-31
"TM2",6.7,1962-03-31
"TM3",15.6,1962-03-31
"TM4",1.6,1962-03-31
"PM1",140.4,1962-03-31
"TM1",13.7,1962-04-30
"TM2",8.5,1962-04-30
"TM3",18.8,1962-04-30
"TM4",6,1962-04-30
"PM1",72.6,1962-04-30
"TM1",16.4,1962-05-31
"TM2",10.8,1962-05-31
"TM3",22.1,1962-05-31
"TM4",5.6,1962-05-31
"PM1",63.1,1962-05-31
"TM1",18,1962-06-30
"TM2",12.4,1962-06-30
"TM3",23.6,1962-06-30
"TM4",8,1962-06-30
"PM1",9.5,1962-06-30
"TM1",22.8,1962-07-31
"TM2",16.1,1962-07-31
"TM3",29.5,1962-07-31
"TM4",12,1962-07-31
