"year","bai_mean","bai_sd","bai_se","n_trees","site","nseries"
1930,2405.42438028456,1759.87893021665,454.398785871361,15,"CA_High",29
1931,1971.88097159659,1488.64697432097,384.366995995146,15,"CA_High",29
1932,2586.8147041564,2143.44536713524,553.435214028015,15,"CA_High",29
1933,2702.05235437738,2417.27936751251,624.138848900451,15,"CA_High",29
1934,2144.91484914768,1662.76444257005,429.323932982644,15,"CA_High",29
1935,2035.85829911049,1343.48361816393,346.885978603425,15,"CA_High",29
1936,1682.35612428634,1160.15715583783,299.551289569552,15,"CA_High",29
1937,1514.61883289743,752.815012958779,194.376000530952,15,"CA_High",29
1938,1484.21213984286,771.946106758414,199.315627709666,15,"CA_High",29
1939,1454.05305817728,652.807014269388,168.554046303515,15,"CA_High",29
1940,1385.4179788131,649.360678623542,167.664206266062,15,"CA_High",29
1941,1958.01363701401,905.557023322653,233.813818024653,15,"CA_High",29
1942,1590.53255906699,842.002616126252,217.404140648003,15,"CA_High",29
1943,1780.31656129515,1193.23829999422,308.092804262298,15,"CA_High",29
1944,2239.01458457418,1527.77033876932,394.468605258884,15,"CA_High",29
1945,1709.57977878325,1301.02765678595,335.923896512484,15,"CA_High",29
1946,1993.32548504752,1473.20157215168,380.379010303335,15,"CA_High",29
1947,1819.8343327337,1113.59760524098,287.529665298319,15,"CA_High",29
1948,1809.1517107622,1022.61936039878,264.039183488916,15,"CA_High",29
1949,1662.29431162475,1262.63712757109,326.0115044924,15,"CA_High",30
1950,1621.88902480161,1330.08604427771,343.426739900697,15,"CA_High",30
1951,1866.76681135581,1456.78843903944,376.141157556484,15,"CA_High",30
1952,1742.71104413901,1248.45157320508,322.348810104648,15,"CA_High",30
1953,1680.98727320498,1350.42539906748,348.678338725592,15,"CA_High",30
1954,2135.9991084425,1802.23253605754,465.334439876268,15,"CA_High",30
1955,2577.75326877939,2633.84527142753,680.055924848398,15,"CA_High",30
1956,2181.24453399296,2027.59431405694,523.52260074716,15,"CA_High",30
1957,1632.49821169541,1203.93851901622,310.855588933831,15,"CA_High",30
1958,1824.69571641267,1767.77305934391,456.43704124754,15,"CA_High",30
1959,2177.77196001709,2163.71677940015,558.669270168423,15,"CA_High",30
1960,2497.0336946225,2775.37772310506,716.599446734731,15,"CA_High",30
1961,2026.59174444548,2211.5851514513,571.028830686034,15,"CA_High",30
1962,2002.15810403767,2393.93819195968,618.112183287315,15,"CA_High",30
1963,1729.33772024777,1794.97418170182,463.460340840229,15,"CA_High",30
1964,1546.13499362093,1727.62044293654,446.069680270713,15,"CA_High",30
1965,2094.70239673962,2504.44591211003,646.645153938627,15,"CA_High",30
1966,1883.18828605743,2466.53443170098,636.856451788337,15,"CA_High",30
1967,1883.79130186026,2466.93007250082,636.958605803596,15,"CA_High",30
1968,1846.49498184905,2402.93001748053,620.433862653599,15,"CA_High",30
1969,2215.55274880779,2493.49508487468,643.817662504645,15,"CA_High",30
1970,2295.85148191499,3093.63827422637,798.773967684573,15,"CA_High",30
1971,2253.64566855692,2325.30697290114,600.391678724406,15,"CA_High",30
1972,1826.91680795438,1521.06281829726,392.736730920041,15,"CA_High",30
1973,2327.65454830846,2378.67730093519,614.17183816824,15,"CA_High",30
1974,1809.81738139827,1751.121228206,452.137556935475,15,"CA_High",30
1975,1862.39511780924,1447.71943986007,373.799552037251,15,"CA_High",30
1976,1741.23338342633,1395.1117207657,360.216297374955,15,"CA_High",30
1977,1445.58541304441,1276.57585055316,329.610467290865,15,"CA_High",30
1978,1916.42320032273,1754.19955142286,452.932376572351,15,"CA_High",30
1979,1991.35951323454,1921.57969482855,496.149743765421,15,"CA_High",30
1980,2059.22845877272,1997.40985105115,515.72900591145,15,"CA_High",30
1981,1707.63184714758,1567.95734438883,404.844845492102,15,"CA_High",30
1982,1967.4225296215,1786.51914116856,461.277258761774,15,"CA_High",30
1983,1791.67648376093,1539.55783977153,397.512124930547,15,"CA_High",30
1984,1981.03336159259,1729.8925271212,446.656329884604,15,"CA_High",30
1985,1869.03268169652,1706.25770032955,440.553843847634,15,"CA_High",30
1986,1843.60971118815,1502.26104038143,387.882132736901,15,"CA_High",30
1987,2074.15453810711,1731.71006361029,447.125615788162,15,"CA_High",30
1988,2340.68066071411,2381.55268142225,614.914258217598,15,"CA_High",30
1989,2193.13900012984,2314.40497567047,597.576795143422,15,"CA_High",30
1990,2683.81479349882,3006.96752193327,776.395675668942,15,"CA_High",30
1991,2787.49951998326,3560.31673321764,919.269827665033,15,"CA_High",30
1992,2495.20045512322,3418.99008425057,882.779443810051,15,"CA_High",30
1993,2087.98167335164,2472.6483035151,638.435046702801,15,"CA_High",30
1994,1440.27164230076,1356.27473189736,350.188629968027,15,"CA_High",30
1995,992.312689130985,984.572793156968,254.215602068391,15,"CA_High",30
1996,2472.10706549048,2347.88208710217,606.220548147027,15,"CA_High",30
1997,2764.68901224272,3792.31312565317,979.171038617235,15,"CA_High",30
1998,1883.87540185158,2050.14163362515,529.344293626444,15,"CA_High",30
1999,1678.07291472133,1775.44484191123,458.417886988804,15,"CA_High",30
2000,2941.39911612253,3345.66536501077,863.847082711312,15,"CA_High",30
2001,2183.86826451977,2210.46018539133,570.738365698347,15,"CA_High",30
2002,2639.35397862542,2380.59081473014,614.665905305612,15,"CA_High",30
2003,2563.64116242972,2409.71132557988,622.184788875885,15,"CA_High",30
2004,2962.06289548901,2917.93355191705,753.407203460972,15,"CA_High",30
2005,2329.03109569091,2105.79503876468,543.713941044121,15,"CA_High",30
2006,2159.00569879074,2062.65928373159,532.57633698617,15,"CA_High",30
2007,2032.73739159955,2164.49724425154,558.870785326538,15,"CA_High",30
2008,2097.33814040264,2327.88069585304,601.056211133104,15,"CA_High",30
2009,2879.6313103158,2870.72232529222,741.217317162839,15,"CA_High",30
2010,3583.80379806969,3505.30012967133,905.064601711717,15,"CA_High",30
2011,3065.63424261026,3333.06440370921,860.593528493502,15,"CA_High",30
2012,2401.53789378798,2533.48616635071,654.143315341546,15,"CA_High",30
2013,2470.22891888084,2148.58457471115,554.762151718296,15,"CA_High",30
2014,2283.83848701435,2377.57328638037,613.88678283592,15,"CA_High",30
2015,2611.5591759307,3096.09006831425,799.407018195952,15,"CA_High",30
2016,2493.70323423139,2949.43450145933,761.54071365877,15,"CA_High",30
1921,891.638277082591,NA,NA,1,"SJ",1
1922,2015.89466848613,NA,NA,1,"SJ",1
1923,1201.92072422372,NA,NA,1,"SJ",1
1924,865.124448388429,NA,NA,1,"SJ",2
1925,970.547963184583,NA,NA,1,"SJ",2
1926,610.830777921113,148.769502906882,105.195924339208,2,"SJ",3
1927,254.944016826202,233.766890446425,116.883445223212,4,"SJ",5
1928,338.421289346287,341.382045096672,170.691022548336,4,"SJ",5
1929,447.209970655264,367.652121653403,164.419027217806,5,"SJ",8
1930,327.298067433394,189.9023375623,77.5273046649006,6,"SJ",10
1931,253.682494895956,182.646119063224,74.5649658674206,6,"SJ",11
